domain,registrant
"000.gov.au","Attorney-General's Department"
"2commando.gov.au","2nd Commando Regiment"
"aa.gov.au","National Archives of Australia"
"aacqa.gov.au","Australian Aged Care Quality Agency"
"aad.gov.au","Australian Antarctic Division"
"aaec.gov.au","Australian Nuclear Science and Technology Organisation"
"aafcans.gov.au","Army and Airforce Canteen Service"
"aao.gov.au","Australian Astronomical Observatory"
"aasb.gov.au","Australian Accounting Standards Board"
"aat.gov.au","Administrative Appeals Tribunal"
"abare.gov.au","Department of Agriculture"
"abares.gov.au","Department of Agriculture"
"abc.gov.au","Australian Broadcasting Corporation"
"abcb.gov.au","Department of Industry and Science"
"abcc.gov.au","Department of Employment"
"abf.gov.au","Department of Immigration and Border Protection"
"abr.gov.au","Australian Taxation Office"
"abs.gov.au","Australian Bureau of Statistics"
"acab.gov.au","Department of Veterans' Affairs"
"acag.gov.au","High Court of Australia"
"acc.gov.au","Department of Infrastructure and Regional Development"
"accc.gov.au","Australian Competition and Consumer Commission"
"accesstojustice.gov.au","Attorney-General's Department"
"acds.gov.au","Australian Radiation Protection and Nuclear Safety Agency"
"acecqa.gov.au","Australian Children's Education and Care Quality Authority (ACECQA)"
"acfa.gov.au","Department of Social Services"
"aciar.gov.au","Australian Centre for International Agricultural Research"
"acip.gov.au","IP Australia"
"acir.gov.au","Department of Human Services"
"aclei.gov.au","Attorney-General's Department"
"acma.gov.au","Australian Communications and Media Authority (ACMA)"
"acmc.gov.au","Department of Defence"
"acnc.gov.au","Australian Taxation Office"
"acorn.gov.au","CrimTrac Agency"
"acpc.gov.au","Department of Social Services"
"acsc.gov.au","Australian Signals Directorate"
"actc.gov.au","Australian Security Intelligence Organisation"
"activfire.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"adcommission.gov.au","Department of Industry and Science"
"adfc.gov.au","Department of Defence"
"adfconsumer.gov.au","Department of Defence"
"adflongtanawards.gov.au","Department of Defence"
"adreviewpanel.gov.au","Department of Industry and Science"
"adri.gov.au","National Archives of Australia"
"aec.gov.au","Australian Electoral Commission"
"aedc.gov.au","Department of Education and Training"
"aei.gov.au","Department of Education and Training"
"aemc.gov.au","Australian Energy Market Commission"
"aemi.gov.au","Attorney-General's Department"
"aer.gov.au","Australian Competition and Consumer Commission"
"afc.gov.au","Screen Australia"
"afma.gov.au","Australian Fisheries Management Authority"
"afp.gov.au","Australian Federal Police"
"afsa.gov.au","Australian Financial Security Authority"
"aftrs.gov.au","Australian Film, Television and Radio School"
"ag.gov.au","Attorney-General's Department"
"aga.gov.au","Department of the Treasury"
"agcto.gov.au","Department of Finance and Deregulation"
"agd.gov.au","Attorney-General's Department D Branch"
"agdaff.gov.au","Department of Agriculture"
"agedcare.gov.au","Department of Health"
"agedcareaustralia.gov.au","Department of Social Services"
"agedcarecommissioner.gov.au","Department of Social Services"
"agict.gov.au","Department of Finance"
"agimo.gov.au","Department of Finance"
"agln.gov.au","Australian Public Service Commission"
"agls.gov.au","National Archives of Australia"
"agmaff.gov.au","Department of Agriculture"
"agriculture.gov.au","Department of Agriculture"
"agricultureminister.gov.au","Department of Agriculture"
"agricultureparlsec.gov.au","Department of Agriculture"
"ags.gov.au","Australian Government Solicitor"
"agso.gov.au","Geoscience Australia"
"agsva.gov.au","Department of Defence"
"ahc.gov.au","Department of the Environment"
"ahl.gov.au","Aboriginal Hostels Limited"
"ahmac.gov.au","(SA) Health, Community and Disability Services Ministerial Council"
"ahpra.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"ahs.gov.au","Australian Hearing"
"ahtcc.gov.au","Australian Federal Police"
"ahwo.gov.au","Department of Health"
"aiatsis.gov.au","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"aic.gov.au","Australian Institute of Criminology"
"aidreview.gov.au","Department of Foreign Affairs and Trade"
"aifs.gov.au","Australian Institute of Family Studies"
"aihw.gov.au","Australian Institute of Health and Welfare"
"aims.gov.au","Australian Institute of Marine Science"
"aip.gov.au","Department of Industry and Science"
"aipauthority.gov.au","Department of Industry and Science"
"aipm.gov.au","Australian Institute of Police Management"
"aipo.gov.au","IP Australia"
"air.gov.au","Fair Work Commission"
"airc.gov.au","Fair Work Commission"
"airforce.gov.au","Department of Defence"
"airforcecadets.gov.au","Department of Defence"
"airservices.gov.au","AirServices Australia"
"alburywodonga.gov.au","(NSW) Albury City Council"
"alcohol.gov.au","Department of Health"
"alrc.gov.au","Australian Law Reform Commission"
"ambassadorforageing.gov.au","Department of Social Services"
"amc.gov.au","Department of Social Services"
"amsa.gov.au","Australian Maritime Safety Authority"
"anao.gov.au","Australian National Audit Office"
"anbg.gov.au","Australian National Botanic Gardens"
"animalwelfare.gov.au","Department of Agriculture"
"anmm.gov.au","Australian National Maritime Museum"
"ano.gov.au","Airservices Australia"
"anpha.gov.au","Department of Health"
"ansto.gov.au","Australian Nuclear Science and Technology Organisation"
"antarctica.gov.au","Australian Antarctic Division"
"antidiscrimination.gov.au","Attorney-General's Department"
"antidumping.gov.au","Australian Customs and Border Protection Service"
"anzaccentenary.gov.au","Department of Veterans' Affairs"
"anzacday.gov.au","(NSW) Board of Studies NEW SOUTH WALES"
"anzacdaysite.gov.au","(NSW) Board of Studies NEW SOUTH WALES"
"anzacsite.gov.au","Department of Veterans' Affairs"
"anzlic.gov.au","Department of Communications"
"anztpa.gov.au","Therapeutic Goods Adminstration"
"aodc.gov.au","Australian Ocean Data Centre"
"aofm.gov.au","Department of the Treasury"
"apas.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"apcc.gov.au","Australasian Procurement and Construction Council Incorporated"
"aph.gov.au","Department of Parliamentary Services"
